,Text,Narrator,Timecode Range,FilePath
0,What I would like to do with Moselantja,Grandma,00:13:33:00 - 00:13:45:09,../Interview CSV/Grandma Interview.csv
1,is for us to live in peace.,Grandma,00:13:45:17 - 00:13:54:00,../Interview CSV/Grandma Interview.csv
2,Peace means peaceful life within the family.,Grandma,00:14:04:00 - 00:14:20:00,../Interview CSV/Grandma Interview.csv
3,Let us be people who live well in peace.,Grandma,00:23:49:19 - 00:23:59:21,../Interview CSV/Grandma Interview.csv
4,My name is Matsele Selikane.,Grandma,00:00:58:00 - 00:01:01:16,../Interview CSV/Grandma Interview.csv
5,"I live at Ha Masupeli with my two grandchildren,",Grandma,,
6,Thabiso and Moselantja.,Grandma,00:03:56:00 - 00:04:00:00,../Interview CSV/Grandma Interview.csv
7,Libraries are also traditionally a place of community.,Hosman,00:15:13:17 - 00:15:17:03,../Interview CSV/Hosman Interview.csv
8,I also believe that we can,Hosman,00:15:47:06 - 00:15:49:04,../Interview CSV/Hosman Interview.csv
9,build community with a digital library.,Hosman,00:15:49:05 - 00:15:52:00,../Interview CSV/Hosman Interview.csv
10,That's one of the reasons,Hosman,00:15:52:00 - 00:15:53:09,../Interview CSV/Hosman Interview.csv
11,that we started working at schools.,Hosman,00:15:53:10 - 00:15:55:09,../Interview CSV/Hosman Interview.csv
12,I anticipate that Solar Spell would reach,Hakim,00:21:17:22 - 00:21:20:12,../Interview CSV/Hakim 2 Interview.csv
13,to all these populations in across Africa.,Hakim,00:21:20:14 - 00:21:23:04,../Interview CSV/Hakim 2 Interview.csv
14,"Solar Spell Health, Solar Spell education,",Hakim,00:21:23:06 - 00:21:25:18,../Interview CSV/Hakim 2 Interview.csv
15,I'm anticipating having all the Solar Spell,Hakim,00:23:53:00 - 00:23:55:05,../Interview CSV/Hakim 2 Interview.csv
16,"libraries across Africa in remote areas, particularly.",Hakim,00:23:55:06 - 00:23:58:00,../Interview CSV/Hakim 2 Interview.csv
17,The moment you come to,Hakim,00:45:08:00 - 00:45:09:21,../Interview CSV/Hakim 2 Interview.csv
18,the demonstration on the Solar Spell,Hakim,00:45:09:23 - 00:45:13:02,../Interview CSV/Hakim 2 Interview.csv
19,"and how it works,",Hakim,00:45:13:04 - 00:45:14:14,../Interview CSV/Hakim 2 Interview.csv
20,"and how you can access the books,",Hakim,00:45:14:16 - 00:45:17:10,../Interview CSV/Hakim 2 Interview.csv
21,you can even see the faces,Hakim,00:45:17:12 - 00:45:19:19,../Interview CSV/Hakim 2 Interview.csv
22,and the smiles you see on the people.,Hakim,00:45:19:21 - 00:45:23:00,../Interview CSV/Hakim 2 Interview.csv
23,Itâ€™s because they know that this,Hakim,,
24,is what we have been waiting for.,Hakim,00:45:30:11 - 00:45:33:22,../Interview CSV/Hakim 2 Interview.csv
25,"To them, they know",Hakim,00:45:28:00 - 00:45:29:20,../Interview CSV/Hakim 2 Interview.csv
26,"this is what we have been waiting for,",Hakim,00:45:29:22 - 00:45:33:22,../Interview CSV/Hakim 2 Interview.csv
27,we want to have it.,Hakim,00:45:34:01 - 00:45:36:00,../Interview CSV/Hakim 2 Interview.csv
