Text,Narrator,Language,Timecode Range,FilePath
"my grandma always says to me,  “bocha ke palesa”.",moselantja,SESOTHO,,
“bocha ke palesa”.,moselantja,SESOTHO,,
"she says it means that youth are the future,",moselantja,SESOTHO,,
and we represent hope.,moselantja,SESOTHO,,
"and, she says my education is the most important thing",moselantja,SESOTHO,,
because it is how hope is made real,moselantja,SESOTHO,,
"my name is moselantja,",moselantja,ENGLISH,,
and i live at ha masupeli and i am 13 years old.,moselantja,ENGLISH,,
it is a beautiful village,moselantja,ENGLISH,,
"because it has the trees, the mountains,",moselantja,ENGLISH,,
"the clean cars, also mountains as well.",moselantja,ENGLISH,,
what i would like to do with moselantja,grandma,SESOTHO,13:33-13:54,../subtitles\Nkhono Selikane.xlsx
is for us to live in peace.,grandma,SESOTHO,13:33-13:54,../subtitles\Nkhono Selikane.xlsx
peace means peaceful life within the family.,grandma,SESOTHO,14:04-14:20,../subtitles\Nkhono Selikane.xlsx
let us be people who live well in peace.,grandma,SESOTHO,23:30-24:10,../subtitles\Nkhono Selikane.xlsx
my name is matsele selikane.,grandma,SESOTHO,00:00-01:00,../subtitles\Nkhono Selikane.xlsx
"i live at ha masupeli with my two grandchildren,",grandma,SESOTHO,,
thabiso and moselantja.,grandma,SESOTHO,03:19-04:40,../subtitles\Nkhono Selikane.xlsx
i love moselantja because she is a very intelligent child.,grandma,SESOTHO,28:52-29:11,../subtitles\Nkhono Selikane.xlsx
she is also a child who loves,grandma,SESOTHO,28:52-29:11,../subtitles\Nkhono Selikane.xlsx
and enjoys school with all her heart.,grandma,SESOTHO,28:52-29:11,../subtitles\Nkhono Selikane.xlsx
the challenges we face in the country,grandma,SESOTHO,21:40-22:05,../subtitles\Nkhono Selikane.xlsx
"of lesotho is the lack of jobs,",grandma,SESOTHO,21:40-22:05,../subtitles\Nkhono Selikane.xlsx
then life becomes difficult when,grandma,SESOTHO,21:40-22:05,../subtitles\Nkhono Selikane.xlsx
a person does not work.,grandma,SESOTHO,21:40-22:05,../subtitles\Nkhono Selikane.xlsx
i have faced many challenges while raising children,grandma,SESOTHO,16:55-17:26,../subtitles\Nkhono Selikane.xlsx
because of our lack of food.,grandma,SESOTHO,16:55-17:26,../subtitles\Nkhono Selikane.xlsx
my grandmother's name is mati.,moselantja,ENGLISH,,
i like to live with my grandmother,moselantja,ENGLISH,,
because my grandmother,moselantja,ENGLISH,,
shows me the way of living.,moselantja,ENGLISH,,
she teaches me the way,moselantja,ENGLISH,,
our food has always been cooked.,moselantja,ENGLISH,,
dinner time is when i miss my parents most.,moselantja,ENGLISH,,
i wish they could be sitting at the table,moselantja,ENGLISH,,
with me so i can tell them about my day.,moselantja,ENGLISH,,
"my parent, they are not here",moselantja,ENGLISH,,
because they are at work in south africa,moselantja,ENGLISH,,
and send her money to do,moselantja,ENGLISH,,
everything that we don't have.,moselantja,ENGLISH,,
"my parents come one of the year of month,",moselantja,ENGLISH,,
and i miss them a lot.,moselantja,ENGLISH,,
but it's been so long time.,moselantja,ENGLISH,,
but they come there every december time.,moselantja,ENGLISH,,
i think my parents would say,moselantja,ENGLISH,,
they are proud of me because i know english.,moselantja,ENGLISH,,
"and i want to discover more about my culture,",moselantja,ENGLISH,,
"what it means to be mesotho, from lesotho.",moselantja,ENGLISH,,
i wake up every morning to go to school,moselantja,SESOTHO,,
and learn something new.,moselantja,SESOTHO,,
my father brought home a book,moselantja,SESOTHO,,
about the clans of lesotho,moselantja,SESOTHO,,
i’m from the bafokeng clan,moselantja,SESOTHO,,
add in her sesotho explanation of the bafokeng clan,moselantja,SESOTHO,,
i find i connect closely with the meaning to my clan.,moselantja,SESOTHO,,
it connects me to the generations that came before me.,moselantja,SESOTHO,,
and those that will come after.,moselantja,SESOTHO,,
it makes me proud to be a masotho woman.,moselantja,SESOTHO,,
my family is important to me and,grandma,SESOTHO,12:07-12:42,../subtitles\Nkhono Selikane.xlsx
i would love to see it shine some day.,grandma,SESOTHO,12:07-12:42,../subtitles\Nkhono Selikane.xlsx
the message that i can give to my grandchildren,grandma,SESOTHO,18:52-19:25,../subtitles\Nkhono Selikane.xlsx
is to stay in school.,grandma,SESOTHO,,
it is one thing that will give them a bright future.,grandma,SESOTHO,,
i want my grandchildren to get a different education,grandma,SESOTHO,,
"than the one i was given a long time ago,",grandma,SESOTHO,09:32-10:11,../subtitles\Nkhono Selikane.xlsx
because i don't want them to be illiterate like me.,grandma,SESOTHO,09:32-10:11,../subtitles\Nkhono Selikane.xlsx
i have done school only up to the sixth grade.,grandma,SESOTHO,,
i would like moselentja to finish university education,grandma,SESOTHO,,
so she can get a job of her choice.,grandma,SESOTHO,14:30-15:28,../subtitles\Nkhono Selikane.xlsx
"when she finishes school,",grandma,SESOTHO,,
she will decide for herself,grandma,SESOTHO,,
what she wants to be in life.,grandma,SESOTHO,,
i am passionate about school,moselantja,SESOTHO,,
because i care about people,moselantja,SESOTHO,,
and i want to help others.,moselantja,SESOTHO,,
"when i grow up,",moselantja,SESOTHO,,
i want to be a human rights lawyer,moselantja,SESOTHO,,
because i think everyone should be free.,moselantja,SESOTHO,,
i will support my family,moselantja,SESOTHO,,
and i will make sure that they have home,moselantja,SESOTHO,,
to live in and food to eat.,moselantja,SESOTHO,,
"i want to support my parents because,",moselantja,SESOTHO,,
"they too, they supported me when i was still young.",moselantja,SESOTHO,,
my name is makopano sello.,sello,SESOTHO,02:00-02:11,../subtitles\Me Sello.xlsx
i work here as a cook.,sello,SESOTHO,02:18-02:22,../subtitles\Me Sello.xlsx
i have five kids who attend school here.,sello,SESOTHO,,
cooking is how i get all of my earnings,sello,SESOTHO,,
with that money i manage to buy,sello,SESOTHO,04:20-04:39,../subtitles\Me Sello.xlsx
"food, clothes for my kids",sello,SESOTHO,04:20-04:39,../subtitles\Me Sello.xlsx
and also buy school books for them.,sello,SESOTHO,04:20-04:39,../subtitles\Me Sello.xlsx
our lives depend on this job.,sello,SESOTHO,04:20-04:39,../subtitles\Me Sello.xlsx
it is important for children,sello,SESOTHO,05:25-05:38,../subtitles\Me Sello.xlsx
to get food at school,sello,SESOTHO,05:25-05:38,../subtitles\Me Sello.xlsx
"because some of them only eat at school,",sello,SESOTHO,05:25-05:38,../subtitles\Me Sello.xlsx
due to lack of food at home.,sello,SESOTHO,05:25-05:38,../subtitles\Me Sello.xlsx
my name is mamats`eliso ranthako.,matseliso,SESOTHO,00:00-00:19,../subtitles\Me Matseliso.xlsx
i am the headmaster at serooeng primary school.,matseliso,SESOTHO,,
the challenges i face in teaching are many.,matseliso,SESOTHO,05:45- 06:19,../subtitles\Me Matseliso.xlsx
"for example,",matseliso,SESOTHO,15:23-16:38,../subtitles\Lucy.xlsx
"for example,",matseliso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
"for example,",matseliso,SESOTHO,30:23-31:07,../subtitles\Me MaSetho 2.xlsx
"for example,",matseliso,SESOTHO,05:45- 06:19,../subtitles\Me Matseliso.xlsx
"for example,",matseliso,SESOTHO,04:38-04:49,../subtitles\Me Rethabile.xlsx
"for example,",matseliso,SESOTHO,05:51-06:22,../subtitles\Me Rethabile.xlsx
"for example,",matseliso,SESOTHO,06:43-07:21,../subtitles\Me Rethabile.xlsx
"for example,",matseliso,SESOTHO,01:54-02:41,../subtitles\Mokete 3.xlsx
"for example,",matseliso,SESOTHO,29:09- 29:57,../subtitles\Ntate Leanya 1.xlsx
"for example,",matseliso,SESOTHO,05:10-05:15,../subtitles\Ntate Leanya 2.xlsx
"some children come from poor families,",matseliso,SESOTHO,05:45- 06:19,../subtitles\Me Matseliso.xlsx
"some are orphans,",matseliso,SESOTHO,05:45- 06:19,../subtitles\Me Matseliso.xlsx
some don't have school uniforms.,matseliso,SESOTHO,05:45- 06:19,../subtitles\Me Matseliso.xlsx
"also, some children go to school",matseliso,SESOTHO,06:19- 07:01,../subtitles\Me Matseliso.xlsx
without learning materials.,matseliso,SESOTHO,06:19- 07:01,../subtitles\Me Matseliso.xlsx
we don't have enough educational resources,matseliso,SESOTHO,06:19- 07:01,../subtitles\Me Matseliso.xlsx
to all the help students.,matseliso,SESOTHO,,
we have no equipment at all.,matseliso,SESOTHO,,
one of the challenges is that,matseliso,SESOTHO,07:01- 07:37,../subtitles\Me Matseliso.xlsx
the last school equipment,matseliso,SESOTHO,07:01- 07:37,../subtitles\Me Matseliso.xlsx
was given here in the year 1990.,matseliso,SESOTHO,07:01- 07:37,../subtitles\Me Matseliso.xlsx
my name is rethabile sekote.,rethabile,SESOTHO,,
"i work here at serooeng primary, as a teacher.",rethabile,SESOTHO,00:00-00:17,../subtitles\Me Rethabile.xlsx
moselantja is one of my students in grade seven.,rethabile,SESOTHO,,
"i’ve been teaching her for five years, since grade three",rethabile,SESOTHO,,
"a teacher is a very important person because if the teacher is not there, there is no soldier, there is no teacher, there is no prime minister, there are no academics at all.",rethabile,SESOTHO,08:10-08:39,../subtitles\Me Rethabile.xlsx
i love teaching,matseliso,SESOTHO,03:18- 03:39,../subtitles\Me Matseliso.xlsx
because i love working with the younger generation.,matseliso,SESOTHO,03:18- 03:39,../subtitles\Me Matseliso.xlsx
youth are the future of every country.,matseliso,SESOTHO,,
i started teaching when,matseliso,SESOTHO,02:27- 02:36,../subtitles\Me Matseliso.xlsx
i was twenty-two years old.,matseliso,SESOTHO,02:27- 02:36,../subtitles\Me Matseliso.xlsx
i have been a teacher for forty years.,matseliso,SESOTHO,02:42- 03:09,../subtitles\Me Matseliso.xlsx
the person who inspired me to,matseliso,SESOTHO,01:50- 02:15,../subtitles\Me Matseliso.xlsx
become a teacher is mr mothuntsane moremoholo.,matseliso,SESOTHO,01:50- 02:15,../subtitles\Me Matseliso.xlsx
he loves hard working people.,matseliso,SESOTHO,,
"when you are a teacher,",moremoholo,SESOTHO,24:41-25:27,../subtitles\Ntate Leanya 2.xlsx
"when you are a teacher,",moremoholo,SESOTHO,18:19-19:17,../subtitles\Ntate Moremoholo 1.xlsx
"you are a parent to children,",moremoholo,SESOTHO,18:19-19:17,../subtitles\Ntate Moremoholo 1.xlsx
and you should guide them.,moremoholo,SESOTHO,18:19-19:17,../subtitles\Ntate Moremoholo 1.xlsx
the future of children,moremoholo,SESOTHO,18:19-19:17,../subtitles\Ntate Moremoholo 1.xlsx
is in the hands of the teacher.,moremoholo,SESOTHO,18:19-19:17,../subtitles\Ntate Moremoholo 1.xlsx
my name is mothunts`ane joseph moremoholo.,moremoholo,SESOTHO,00:00-00:55,../subtitles\Ntate Moremoholo 1.xlsx
i have been a teacher for fifty-two years.,moremoholo,SESOTHO,00:00-00:55,../subtitles\Ntate Moremoholo 1.xlsx
i started teaching in the year 1962.,moremoholo,SESOTHO,00:56-01:44,../subtitles\Ntate Moremoholo 1.xlsx
and in the year 1988,moremoholo,SESOTHO,00:56-01:44,../subtitles\Ntate Moremoholo 1.xlsx
i came to teach here in serooeng.,moremoholo,SESOTHO,00:56-01:44,../subtitles\Ntate Moremoholo 1.xlsx
it is said that no government branch,moremoholo,SESOTHO,,
exists without the teacher.,moremoholo,SESOTHO,,
the teacher is the mother,moremoholo,SESOTHO,32:28-33:44,../subtitles\Ntate Moremoholo 1.xlsx
of the governments that exist today.,moremoholo,SESOTHO,32:28-33:44,../subtitles\Ntate Moremoholo 1.xlsx
and by it governments can rise or fall.,moremoholo,SESOTHO,32:28-33:44,../subtitles\Ntate Moremoholo 1.xlsx
and by it governments can rise or fall.,moremoholo,SESOTHO,33:44-34:18,../subtitles\Ntate Moremoholo 1.xlsx
there are no governments except the teacher.,moremoholo,SESOTHO,,
"when we educate youth,",hakim,ENGLISH,,
we are building a capacity of people,hakim,ENGLISH,,
that will stay in a country,hakim,ENGLISH,,
and save a lot of lives,hakim,ENGLISH,,
and be the future leaders of tomorrow.,hakim,ENGLISH,,
"hi, my name is hakim monykuer awuok.",hakim,ENGLISH,,
"currently, we are in blantyre malawi,",hakim,ENGLISH,,
at kuhes that is kamuzu university of health sciences.,hakim,ENGLISH,,
i’m excited to be here,hakim,ENGLISH,,
for the first time in malawi.,hakim,ENGLISH,,
i find myself as a pioneer,hakim,ENGLISH,,
of the implementation of solarspell library in africa,hakim,ENGLISH,,
and especially in south sudan.,hakim,ENGLISH,,
i anticipate that solar spell,hakim,ENGLISH,,
would reach to all these populations in across africa.,hakim,ENGLISH,,
"solar spell health, solar spell education,",hakim,ENGLISH,,
because of how it is designed.,hakim,ENGLISH,,
it is designed to use our natural resource,hakim,ENGLISH,,
that we have and that is the sun.,hakim,ENGLISH,,
"if you look at africa,",hakim,ENGLISH,,
75-80% of the population in africa lives in rural areas.,hakim,ENGLISH,,
basically that means these are areas,hakim,ENGLISH,,
"where there is no electricity, there is no internet.",hakim,ENGLISH,,
"so, this is a suitable space for the",hakim,ENGLISH,,
implementation of solar spell initiatives.,hakim,ENGLISH,,
"if we work hard,",hakim,ENGLISH,,
"we join hands together,",hakim,ENGLISH,,
different countries and join force together,hakim,ENGLISH,,
"and have the knowledge about the solar spell,",hakim,ENGLISH,,
"then, we can be able to reach",hakim,ENGLISH,,
about 80% of the african population.,hakim,ENGLISH,,
"to share what we have,",hakim,ENGLISH,,
the technology that we have which,hakim,ENGLISH,,
"does not require internet,",hakim,ENGLISH,,
does not require power.,hakim,ENGLISH,,
"my name is laura hosman,",hosman,ENGLISH,,
i am assistant professor at arizona state university,hosman,ENGLISH,,
and the school for the future of innovation and society,hosman,ENGLISH,,
and at the polytechnic school.,hosman,ENGLISH,,
i launched solar spell,hosman,ENGLISH,,
to bring educational content to places,hosman,ENGLISH,,
around the globe that don’t have,hosman,ENGLISH,,
"electricity, internet, libraries",hosman,ENGLISH,,
or access to valuable educational information.,hosman,ENGLISH,,
having access to information means,hosman,ENGLISH,,
being able to make more empowering decisions,hosman,ENGLISH,,
about one's life.,hosman,ENGLISH,,
libraries are also traditionally a place of community.,hosman,ENGLISH,,
i also believe that we can,hosman,ENGLISH,,
build community with a digital library.,hosman,ENGLISH,,
that's one of the reasons,hosman,ENGLISH,,
that we started working at schools.,hosman,ENGLISH,,
i anticipate that solar spell would reach,hakim,ENGLISH,,
to all these populations in across africa.,hakim,ENGLISH,,
"solar spell health, solar spell education,",hakim,ENGLISH,,
i'm anticipating having all the solar spell,hakim,ENGLISH,,
"libraries across africa in remote areas, particularly.",hakim,ENGLISH,,
the moment you come to,hakim,ENGLISH,,
the demonstration on the solar spell,hakim,ENGLISH,,
"and how it works,",hakim,ENGLISH,,
"and how you can access the books,",hakim,ENGLISH,,
you can even see the faces,hakim,ENGLISH,,
and the smiles you see on the people.,hakim,ENGLISH,,
it’s because they know that this,hakim,ENGLISH,,
is what we have been waiting for.,hakim,ENGLISH,,
"to them, they know",hakim,ENGLISH,,
"this is what we have been waiting for,",hakim,ENGLISH,,
we want to have it.,hakim,ENGLISH,,
i'm dr. heather ross.,ross,ENGLISH,,
i'm a professor of nursing at arizona state university.,ross,ENGLISH,,
i teach things like health equity,ross,ENGLISH,,
and social justice,ross,ENGLISH,,
and global health policy.,ross,ENGLISH,,
"we are in malawi, in blantyre.",ross,ENGLISH,,
we're here because,ross,ENGLISH,,
our solar spell health library,ross,ENGLISH,,
is going out into the field,ross,ENGLISH,,
for the first time.,ross,ENGLISH,,
the kamuzu university of health sciences,ross,ENGLISH,,
has partnered with the peace corps,ross,ENGLISH,,
and with solar spell,ross,ENGLISH,,
to be our very first pilot,ross,ENGLISH,,
of the solar spell health library in africa.,ross,ENGLISH,,
so what's in the library?,ross,ENGLISH,,
all kinds of reference materials.,ross,ENGLISH,,
"we have a medical encyclopedia,",ross,ENGLISH,,
we have textbooks.,ross,ENGLISH,,
we have all kinds of videos,ross,ENGLISH,,
"for healthcare professionals,",ross,ENGLISH,,
but also for people in the community.,ross,ENGLISH,,
"and of course,",ross,ENGLISH,,
"we can't say it enough,",ross,ENGLISH,,
a library is never done.,ross,ENGLISH,,
so it's always growing.,ross,ENGLISH,,
"nursing school is really, really, needed",patrick,ENGLISH,,
here in malawi,patrick,ENGLISH,,
as far as health issues are concerned.,patrick,ENGLISH,,
"we have so many hospitals around malawi,",patrick,ENGLISH,,
"but then the health workers are just very few,",patrick,ENGLISH,,
we have a number of diseases,patrick,ENGLISH,,
that people do suffer here in malawi.,patrick,ENGLISH,,
"so for them to get better,",patrick,ENGLISH,,
"for them to get treated,",patrick,ENGLISH,,
we need a huge task force,patrick,ENGLISH,,
that will be there each and every time,patrick,ENGLISH,,
to give you support,patrick,ENGLISH,,
and to give treatment to those patients.,patrick,ENGLISH,,
"my name is patrick somanje,",patrick,ENGLISH,,
i’m the president for student representative council.,patrick,ENGLISH,,
i’m doing bachelors of science in nursing and midwifery.,patrick,ENGLISH,,
…..,patrick,ENGLISH,,
most of the challenges here,patrick,ENGLISH,,
for students are financial issues.,patrick,ENGLISH,,
i understand each and every student is,patrick,ENGLISH,,
"supposed to buy his or her own meals daily,",patrick,ENGLISH,,
so it becomes a challenge for most of the students.,patrick,ENGLISH,,
"as a result, most of the students do not take meals,",patrick,ENGLISH,,
"maybe 3 to 4 days,",patrick,ENGLISH,,
maybe they just take tea,patrick,ENGLISH,,
in the morning and then off they go.,patrick,ENGLISH,,
"in terms of having learning resources,",patrick,ENGLISH,,
"it has become hard,",patrick,ENGLISH,,
"because for a student to buy a laptop,",patrick,ENGLISH,,
it’s not easy.,patrick,ENGLISH,,
and then our library is full of old books.,patrick,ENGLISH,,
"the coming of this solar spell,",patrick,ENGLISH,,
it exactly will answer to some of the problems,patrick,ENGLISH,,
"that students have,",patrick,ENGLISH,,
"because they’ll be able to get information,",patrick,ENGLISH,,
they'll be able to have any sort of books,patrick,ENGLISH,,
that they need through this solar spell library.,patrick,ENGLISH,,
these academic issues are dynamics.,patrick,ENGLISH,,
they do changes it every day.,patrick,ENGLISH,,
so it means that solar spell needs to be,patrick,ENGLISH,,
"updated time and again,",patrick,ENGLISH,,
so i just want you to devise the ways,patrick,ENGLISH,,
on how this will be timely updated,patrick,ENGLISH,,
chrissy:,chrissy/love,ENGLISH,,
"my name is chrissy zamaleh,",chrissy/love,ENGLISH,,
i’m a year three student studying,chrissy/love,ENGLISH,,
bachelor of science in nursing and midwifery,chrissy/love,ENGLISH,,
"at school of nursing, kuhes.",chrissy/love,ENGLISH,,
love:,chrissy/love,ENGLISH,,
"my name is love halowah,",chrissy/love,ENGLISH,,
"i’m a third year student from zomba, malawi.",chrissy/love,ENGLISH,,
love:,chrissy/love,ENGLISH,,
sometimes you may wish to study more,chrissy/love,ENGLISH,,
"but when you go to the library,",chrissy/love,ENGLISH,,
you may find that the things,chrissy/love,ENGLISH,,
that you’re looking for,chrissy/love,ENGLISH,,
are not there.,chrissy/love,ENGLISH,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
