Text,Narrator,Language,Timecode Range,FilePath
are not there.,chrissy/love,ENGLISH,15:20-15:35,../subtitles\Ntate Leanya 2.xlsx
the books are not there.,chrissy/love,ENGLISH,,
so it’s something like you’ve,chrissy/love,ENGLISH,,
"got a limited for knowledge,",chrissy/love,ENGLISH,,
because there is no text book,chrissy/love,ENGLISH,,
and you can start failing.,chrissy/love,ENGLISH,,
chrissy:,chrissy/love,ENGLISH,,
"as nurses here,",chrissy/love,ENGLISH,,
we’re told that we are educators.,chrissy/love,ENGLISH,,
if you take the solar spell there,chrissy/love,ENGLISH,,
and you connect the wi-fi,chrissy/love,ENGLISH,,
and put your laptop there,chrissy/love,ENGLISH,,
"and show them some videos,",chrissy/love,ENGLISH,,
"for example,",chrissy/love,ENGLISH,15:23-16:38,../subtitles\Lucy.xlsx
"for example,",chrissy/love,ENGLISH,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
"for example,",chrissy/love,ENGLISH,30:23-31:07,../subtitles\Me MaSetho 2.xlsx
"for example,",chrissy/love,ENGLISH,05:45- 06:19,../subtitles\Me Matseliso.xlsx
"for example,",chrissy/love,ENGLISH,04:38-04:49,../subtitles\Me Rethabile.xlsx
"for example,",chrissy/love,ENGLISH,05:51-06:22,../subtitles\Me Rethabile.xlsx
"for example,",chrissy/love,ENGLISH,06:43-07:21,../subtitles\Me Rethabile.xlsx
"for example,",chrissy/love,ENGLISH,01:54-02:41,../subtitles\Mokete 3.xlsx
"for example,",chrissy/love,ENGLISH,29:09- 29:57,../subtitles\Ntate Leanya 1.xlsx
"for example,",chrissy/love,ENGLISH,05:10-05:15,../subtitles\Ntate Leanya 2.xlsx
"ways for reducing the risk of contracting cholera,",chrissy/love,ENGLISH,,
"like washing hands,",chrissy/love,ENGLISH,,
"if you just say it,",chrissy/love,ENGLISH,,
"they don’t know how to do it,",chrissy/love,ENGLISH,,
it would be more challenging for them.,chrissy/love,ENGLISH,,
"but if you show them video,",chrissy/love,ENGLISH,,
it would be more easy for them,chrissy/love,ENGLISH,,
to grasp what you’re saying.,chrissy/love,ENGLISH,,
love:,chrissy/love,ENGLISH,,
if the solar spell would be,chrissy/love,ENGLISH,,
"implemented in the classroom,",chrissy/love,ENGLISH,,
"that means if the teacher asks the question,",chrissy/love,ENGLISH,,
"it would be easier for us to access the information,",chrissy/love,ENGLISH,,
since there’s that search on solar spell.,chrissy/love,ENGLISH,,
we’ll be answering the questions.,chrissy/love,ENGLISH,,
we’ll be stars.,chrissy/love,ENGLISH,,
"listen,",ross,ENGLISH,,
"if you believe that access to information is a human right,",ross,ENGLISH,,
"then every aorta,",ross,ENGLISH,,
"every molecule of solar spell and the solar spell mission,",ross,ENGLISH,,
is promoting justice with access to information,ross,ENGLISH,,
"and promoting equity,",ross,ENGLISH,,
human equity and health equity,ross,ENGLISH,,
when we get information and the knowledge,ross,ENGLISH,,
and the skills to critically assess that information,ross,ENGLISH,,
"and put it into action,",ross,ENGLISH,,
that is power.,ross,ENGLISH,,
and that power is for everybody.,ross,ENGLISH,,
"across education,",ross,ENGLISH,,
"across health,",ross,ENGLISH,,
"across agriculture,",ross,ENGLISH,,
every time we can build the information literacy,ross,ENGLISH,,
"for one person,",ross,ENGLISH,,
we’re building power,ross,ENGLISH,,
and that is the power that's going to fuel the future.,ross,ENGLISH,,
i guess that i could bring it back,hosman,ENGLISH,,
to the wonder of being a child,hosman,ENGLISH,,
and going into a library,hosman,ENGLISH,,
and knowing i could pick any of these books,hosman,ENGLISH,,
eight at a time or ten at a time,hosman,ENGLISH,,
and bring them home,hosman,ENGLISH,,
and read them,hosman,ENGLISH,,
and go to all these different worlds.,hosman,ENGLISH,,
so there is a very similar feeling,hosman,ENGLISH,,
when we were giving a training,hosman,ENGLISH,,
the trainees connect to the library,hosman,ENGLISH,,
for the very first time,hosman,ENGLISH,,
and they see this world of information,hosman,ENGLISH,,
that has been curated specially for them,hosman,ENGLISH,,
the one universal seemed,hosman,ENGLISH,,
to be the desire for access to more information.,hosman,ENGLISH,,
my name is ‘mapitso lepheana.,mapitso,SESOTHO,,
the school i teach at is seroeng primary school.,mapitso,SESOTHO,0:13 - 0:39,../subtitles\Me Mapitso.xlsx
"it is in the district of maseru,",mapitso,SESOTHO,0:13 - 0:39,../subtitles\Me Mapitso.xlsx
between roma and ramabanta.,mapitso,SESOTHO,0:13 - 0:39,../subtitles\Me Mapitso.xlsx
it is the school that is found in the mountains,mapitso,SESOTHO,0:13 - 0:39,../subtitles\Me Mapitso.xlsx
of lesotho especially thabana-li-‘mele.,mapitso,SESOTHO,0:13 - 0:39,../subtitles\Me Mapitso.xlsx
our beautiful school that is,mapitso,SESOTHO,3:49 - 4:38,../subtitles\Me Mapitso.xlsx
found in the mountain areas of lesotho.,mapitso,SESOTHO,3:49 - 4:38,../subtitles\Me Mapitso.xlsx
i teach grade 4.,mapitso,SESOTHO,,
"here in lesotho,",mapitso,SESOTHO,0:55 - 1:51,../subtitles\Me Mapitso.xlsx
we need science labs and computer labs,mapitso,SESOTHO,0:55 - 1:51,../subtitles\Me Mapitso.xlsx
to improve on students’ education,mapitso,SESOTHO,0:55 - 1:51,../subtitles\Me Mapitso.xlsx
and knowledge they need to have.,mapitso,SESOTHO,0:55 - 1:51,../subtitles\Me Mapitso.xlsx
we could be happy if the lesotho government,mapitso,SESOTHO,0:55 - 1:51,../subtitles\Me Mapitso.xlsx
could furnish schools with science and computer labs.,mapitso,SESOTHO,0:55 - 1:51,../subtitles\Me Mapitso.xlsx
"well, the lesotho education s",mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
ystem is not enough.,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
it needs a lot of things.,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
"for example,",mapitso,SESOTHO,15:23-16:38,../subtitles\Lucy.xlsx
"for example,",mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
"for example,",mapitso,SESOTHO,30:23-31:07,../subtitles\Me MaSetho 2.xlsx
"for example,",mapitso,SESOTHO,05:45- 06:19,../subtitles\Me Matseliso.xlsx
"for example,",mapitso,SESOTHO,04:38-04:49,../subtitles\Me Rethabile.xlsx
"for example,",mapitso,SESOTHO,05:51-06:22,../subtitles\Me Rethabile.xlsx
"for example,",mapitso,SESOTHO,06:43-07:21,../subtitles\Me Rethabile.xlsx
"for example,",mapitso,SESOTHO,01:54-02:41,../subtitles\Mokete 3.xlsx
"for example,",mapitso,SESOTHO,29:09- 29:57,../subtitles\Ntate Leanya 1.xlsx
"for example,",mapitso,SESOTHO,05:10-05:15,../subtitles\Ntate Leanya 2.xlsx
"teaching aids are not there in classrooms,",mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
so students get only a certain portion,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
as they learn about things they cannot see or touch.,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
science labs and computer labs,mapitso,SESOTHO,0:55 - 1:51,../subtitles\Me Mapitso.xlsx
science labs and computer labs,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
can help both teachers’ teaching,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
"and students’ learning to become easy,",mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
and that can improve the lesotho education system,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
only if the ministry of education,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
can provide schools with teaching aids,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
and learning aids.,mapitso,SESOTHO,1:54 - 3:05,../subtitles\Me Mapitso.xlsx
"i wish students,",mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
especially the ones that i teach,mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
could take entrepreneurship,mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
as their career to sharpen their knowledge,mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
and skills so that they,mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
could earn their living.,mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
this would help them become self-employed,mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
as there is so much lack,mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
of employment in lesotho.,mapitso,SESOTHO,3:08 - 3:45,../subtitles\Me Mapitso.xlsx
help us with life skills,mapitso,SESOTHO,3:49 - 4:38,../subtitles\Me Mapitso.xlsx
and positive changes that could,mapitso,SESOTHO,3:49 - 4:38,../subtitles\Me Mapitso.xlsx
develop the lives of community that lives here.,mapitso,SESOTHO,3:49 - 4:38,../subtitles\Me Mapitso.xlsx
students of this years have more experience,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
and more knowledge than us,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
because they are exposed to technology,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
"at an early stage,",rethabile,SESOTHO,,
and thus make them even,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
more prellient than us.,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
nowadays students use phones at school,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
"while teaching and learning takes place,",rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
hence why they have access to technology,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
and new things around the world.,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
they also use the internet which helps them,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
gain more knowledge about things around them,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
and around the world.,rethabile,SESOTHO,13:14-13:58,../subtitles\Me Rethabile.xlsx
student 1:,bo abuti 1,ENGLISH,,
"before solar spell,",bo abuti 1,ENGLISH,,
i would get my information on google or youtube.,bo abuti 1,ENGLISH,,
student 1:,bo abuti 1,ENGLISH,,
"in the solar spell,",bo abuti 1,ENGLISH,,
you can find any topic that you like;,bo abuti 1,ENGLISH,,
"art, education tools, health and safety,",bo abuti 1,ENGLISH,,
"digital literacy,",bo abuti 1,ENGLISH,,
"language and reading,",bo abuti 1,ENGLISH,,
"local resources,",bo abuti 1,ENGLISH,,
"math, science, social science,",bo abuti 1,ENGLISH,,
sustainability.,bo abuti 1,ENGLISH,,
student 2:,bo abuti 1,ENGLISH,,
"so, when you want to know about rocks,",bo abuti 1,ENGLISH,,
you go to science.,bo abuti 1,ENGLISH,,
"student 1: you go to science,",bo abuti 1,ENGLISH,,
"after science, you go to the earth,",bo abuti 1,ENGLISH,,
"look for which topic you are looking for,",bo abuti 1,ENGLISH,,
"any topic, three types of rocks.",bo abuti 1,ENGLISH,,
student 1:,bo abuti 1,ENGLISH,,
i think the solar spell,bo abuti 1,ENGLISH,,
"helps a lot of people,",bo abuti 1,ENGLISH,,
even if you still want to learn things,bo abuti 1,ENGLISH,,
"that your teacher has not taught you,",bo abuti 1,ENGLISH,,
"that you are still curious about,",bo abuti 1,ENGLISH,,
you can look it on the solar spell and find out.,bo abuti 1,ENGLISH,,
student 2:,bo abuti 1,ENGLISH,,
"it changed that,",bo abuti 1,ENGLISH,,
"people can know things that no one can know,",bo abuti 1,ENGLISH,,
"so if the teacher before ask you that question,",bo abuti 1,ENGLISH,,
"you must know it,",bo abuti 1,ENGLISH,,
and the solar spell will help you.,bo abuti 1,ENGLISH,,
student 1:,bo abuti 1,ENGLISH,,
"the first time i used the solar spell,",bo abuti 1,ENGLISH,,
i went to the science and looked two types of brains.,bo abuti 1,ENGLISH,,
"i learnt that, your brains has two types,",bo abuti 1,ENGLISH,,
the survival brain and i forgotten the other part.,bo abuti 1,ENGLISH,,
student 1:,bo abuti 1,ENGLISH,,
a doctor.,bo abuti 1,ENGLISH,01:34-01:47,../subtitles\Ntate Leanya 1.xlsx
i want to be a doctor,bo abuti 1,ENGLISH,,
because helping people is what i like to do.,bo abuti 1,ENGLISH,,
student 2:,bo abuti 1,ENGLISH,,
i want to be a police.,bo abuti 1,ENGLISH,,
to stop crimes.,bo abuti 1,ENGLISH,,
"being a police you can do justice in your city,",bo abuti 1,ENGLISH,,
"when people steal in your city,",bo abuti 1,ENGLISH,,
if you are police you can stop them and that is justice.,bo abuti 1,ENGLISH,,
"student 1: in the solar spell,",bo abuti 1,ENGLISH,,
"if i know about more,",bo abuti 1,ENGLISH,,
about the part of the human body,bo abuti 1,ENGLISH,,
"and how they work,",bo abuti 1,ENGLISH,,
"and you do get diseases,",bo abuti 1,ENGLISH,,
i would be a doctor.,bo abuti 1,ENGLISH,,
student 2:,bo abuti 1,ENGLISH,,
i can see how police can catch people.,bo abuti 1,ENGLISH,,
"so, if i catch people,",bo abuti 1,ENGLISH,,
i must copy and must remember,bo abuti 1,ENGLISH,,
what the solar spell taught me,bo abuti 1,ENGLISH,,
about what to do.,bo abuti 1,ENGLISH,,
student 1:,bo abuti 1,ENGLISH,,
"i want to explore more,",bo abuti 1,ENGLISH,,
so i want to be a doctor.,bo abuti 1,ENGLISH,,
student 1:,bo abuti 1,ENGLISH,,
we share one textbook.,bo abuti 1,ENGLISH,,
each table gets one textbook.,bo abuti 1,ENGLISH,,
student 2:,bo abuti 1,ENGLISH,,
the textbooks are so small.,bo abuti 1,ENGLISH,,
they will not do us all.,bo abuti 1,ENGLISH,,
student 1:,bo abuti 1,ENGLISH,,
"if we were given,",bo abuti 1,ENGLISH,,
some people will copy.,bo abuti 1,ENGLISH,,
"so, that’s why.",bo abuti 1,ENGLISH,,
"if each one had their own textbook,",bo abuti 1,ENGLISH,,
some people will not try to,bo abuti 1,ENGLISH,,
look into some people book.,bo abuti 1,ENGLISH,,
student 1:,bo abuti 1,ENGLISH,,
i like learning,bo abuti 1,ENGLISH,,
because i have so many questions,bo abuti 1,ENGLISH,,
"about the earth,",bo abuti 1,ENGLISH,,
"that’s why i like to learn,",bo abuti 1,ENGLISH,,
to know the answer.,bo abuti 1,ENGLISH,,
i will tell the world that everybody,bo abuti 1,ENGLISH,,
"should learn more about humans,",bo abuti 1,ENGLISH,,
the earth,bo abuti 1,ENGLISH,22:06-30:21,../subtitles\Me MaSetho 2.xlsx
"and the parts of the brains and how they work,",bo abuti 1,ENGLISH,,
so people can be doctors.,bo abuti 1,ENGLISH,,
if they were more doctors-,bo abuti 1,ENGLISH,,
"nowadays, i see more soldiers and more policemen,",bo abuti 1,ENGLISH,,
no doctors.,bo abuti 1,ENGLISH,,
"if there were no doctors,",bo abuti 1,ENGLISH,,
"if we were ill,",bo abuti 1,ENGLISH,,
who will find a cure?,bo abuti 1,ENGLISH,,
my name is lehlohonolo and i’m in grade seven.,lehlokonolo,ENGLISH,,
my favorite subject is science.,lehlokonolo,ENGLISH,,
i think i want to be a doctor.,lehlokonolo,ENGLISH,,
"i have learned that using solar spell,",lehlokonolo,ENGLISH,,
you can find many items that you want.,lehlokonolo,ENGLISH,,
"so, if you have homework",lehlokonolo,ENGLISH,,
and you can look with the solar spell,lehlokonolo,ENGLISH,,
and you’d find it.,lehlokonolo,ENGLISH,,
it will change the quality of my,lehlokonolo,ENGLISH,,
"education because sometimes,",lehlokonolo,ENGLISH,,
"if i have homework that my parents don’t know it,",lehlokonolo,ENGLISH,,
"i don’t do it,",lehlokonolo,ENGLISH,,
but this time i can check in the solar spell.,lehlokonolo,ENGLISH,,
i’m excited about high school.,lehlokonolo,ENGLISH,,
i look to more on having some friends.,lehlokonolo,ENGLISH,,
"you press here,",lehlokonolo,ENGLISH,,
"and do whatever you want to search,",lehlokonolo,ENGLISH,,
you press.,lehlokonolo,ENGLISH,,
"if you want to know about science,",lehlokonolo,ENGLISH,,
"you can press here,",lehlokonolo,ENGLISH,,
"and lessons,",lehlokonolo,ENGLISH,,
because whenever you want to search-,lehlokonolo,ENGLISH,,
"this is art, educational tools, health safety, digital literacy,",lehlokonolo,ENGLISH,,
"language and reading, local resources,",lehlokonolo,ENGLISH,,
"math, science, social studies, sustainability,",lehlokonolo,ENGLISH,,
"community health, chain academy.",lehlokonolo,ENGLISH,,
solar spell makes finding resources,lehlokonolo,ENGLISH,,
easier for me.,lehlokonolo,ENGLISH,13:07-13:56,../subtitles\Lucy.xlsx
school is important,lehlokonolo,ENGLISH,,
"because if you attend school,",lehlokonolo,ENGLISH,,
you can reach your dreams easier.,lehlokonolo,ENGLISH,,
"sometimes, like there’s no food here at school,",lehlokonolo,ENGLISH,,
and my mother doesn’t have,lehlokonolo,ENGLISH,,
any money to buy food.,lehlokonolo,ENGLISH,,
"two people share one textbook,",lehlokonolo,ENGLISH,,
but don’t stay with it.,lehlokonolo,ENGLISH,,
there are times that i could wish,lehlokonolo,ENGLISH,,
i could take the textbook home.,lehlokonolo,ENGLISH,,
"a computer lab would be so important because,",lehlokonolo,ENGLISH,,
"if madam is asking us something,",lehlokonolo,ENGLISH,,
"and we don’t know it,",lehlokonolo,ENGLISH,,
"and it's not in the solar spell,",lehlokonolo,ENGLISH,,
we can go to the computer,lehlokonolo,ENGLISH,,
and look for it.,lehlokonolo,ENGLISH,,
our school only has,lehlokonolo,ENGLISH,,
one tablet to use solar spell on.,lehlokonolo,ENGLISH,,
"if we had more tablets,",lehlokonolo,ENGLISH,,
more students could be,lehlokonolo,ENGLISH,,
able to use the library.,lehlokonolo,ENGLISH,,
it will make a lot of difference,lehlokonolo,ENGLISH,,
because everyone could,lehlokonolo,ENGLISH,,
search everything that they want.,lehlokonolo,ENGLISH,,
i want to thank us,lehlokonolo,ENGLISH,,
because now i am learning more on the solar spell.,lehlokonolo,ENGLISH,,
my name is palesa betty.,palesa,ENGLISH,,
i’m in grade seven.,palesa,ENGLISH,,
"when i use solar spell,",palesa,ENGLISH,,
i get on my library using my phone.,palesa,ENGLISH,,
our school has textbooks,palesa,ENGLISH,,
but we can’t bring them home.,palesa,ENGLISH,,
"my favorite subject is maths,",palesa,ENGLISH,,
and i want to learn more about maths,palesa,ENGLISH,,
when i go to high school.,palesa,ENGLISH,,
the singing makes me feel happy.,palesa,ENGLISH,,
"when i was young,",palesa,ENGLISH,,
i’d always sing.,palesa,ENGLISH,,
i don’t know why.,palesa,ENGLISH,,
i like to sing.,palesa,ENGLISH,,
and it’s because,palesa,ENGLISH,,
i know how to sing.,palesa,ENGLISH,,
i want to tell the world that,palesa,ENGLISH,,
we have to take care of ourselves,palesa,ENGLISH,,
and we have to love others a,palesa,ENGLISH,,
nd help each other.,palesa,ENGLISH,,
that’s all.,palesa,ENGLISH,,
i wish solar spell has more content,moselantja,ENGLISH,,
about lesotho’s cultures.,moselantja,ENGLISH,,
i want to tell the world that,moselantja,ENGLISH,,
education is important.,moselantja,ENGLISH,20:28-21:15,../subtitles\Nkhono Selikane.xlsx
it’s important because when we’ve learnt,moselantja,ENGLISH,,
our lives are going to be,moselantja,ENGLISH,,
"better than the one who didn’t learn,",moselantja,ENGLISH,,
"even though i don’t have much,",moselantja,ENGLISH,,
education that will help me,moselantja,ENGLISH,,
to succeed in the world.,moselantja,ENGLISH,,
my grandma always says “bocha ke palesa”,moselantja,SESOTHO,,
"i’ve been thinking more about what that means,",moselantja,SESOTHO,,
and i remembered that i don’t often see flowers growing alone,moselantja,SESOTHO,,
"they blossom together, where the sun is strong, and the soil is rich",moselantja,SESOTHO,,
"next year, my friends and i are all going to different schools",moselantja,SESOTHO,,
some are going off to the capital city,moselantja,SESOTHO,,
"where the schools have more textbooks,",moselantja,SESOTHO,,
and more opportunity.,moselantja,SESOTHO,,
"but i’ll be here, walking to a school nearby",moselantja,SESOTHO,,
so i can take care of my family.,moselantja,SESOTHO,,
i hope that my school,moselantja,SESOTHO,,
will have the books and teachers i need,moselantja,SESOTHO,,
to create the future i dream of,moselantja,SESOTHO,,
so i can help others to live in peace.,moselantja,SESOTHO,,
